"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.995914770E-1,1.435693651E-1,6.041877270E-1,9.851848602E0,9.871401919E0
2.020526230E-1,1.339980662E-1,6.209374666E-1,9.964611053E0,9.984838119E0
2.045136650E-1,1.603191197E-1,6.329016089E-1,9.923933029E0,9.945386540E0
2.069747580E-1,1.507478207E-1,6.834499836E-1,9.847063065E0,9.871903554E0
2.094358000E-1,1.603191197E-1,6.209374666E-1,9.952646255E0,9.973285970E0
2.118968940E-1,1.220339537E-1,6.424728632E-1,9.940682411E0,9.962169968E0
2.143579360E-1,7.896314561E-2,6.161518097E-1,9.887741089E0,9.907234835E0
2.168190290E-1,7.417750359E-2,6.017948985E-1,9.887741089E0,9.906315321E0
2.192822580E-1,9.332008660E-2,5.706881881E-1,9.870991707E0,9.887915398E0
2.217433000E-1,1.172483116E-1,5.850451589E-1,9.892526627E0,9.910504935E0
2.242043940E-1,1.052841991E-1,5.754738450E-1,9.931111336E0,9.948327863E0
2.266654360E-1,1.363908947E-1,5.826523304E-1,9.890133858E0,9.908220523E0
2.291265290E-1,1.244267747E-1,6.065805554E-1,9.933504105E0,9.952784826E0
2.315876230E-1,1.148554832E-1,5.970092416E-1,9.909276962E0,9.927909233E0
2.340486650E-1,6.460621208E-2,6.281159520E-1,9.873384476E0,9.893554701E0
2.365097580E-1,7.417750359E-2,6.065805554E-1,9.887741089E0,9.906607195E0
2.389708000E-1,1.052841991E-1,6.185446382E-1,9.921540260E0,9.941360237E0
2.414318940E-1,1.100698411E-1,6.329016089E-1,9.935896873E0,9.956642330E0
2.438929360E-1,9.810572863E-2,6.209374666E-1,9.894919395E0,9.914868527E0
2.463540290E-1,6.939185411E-2,6.161518097E-1,9.931111336E0,9.950448766E0
2.488041860E-1,1.052841991E-1,5.635097623E-1,9.887741089E0,9.904345100E0
2.512652790E-1,7.657032460E-2,5.826523304E-1,9.904491425E0,9.921909954E0
2.537263730E-1,8.614161611E-2,6.257231236E-1,9.902098656E0,9.922222916E0
2.561874150E-1,1.196411327E-1,5.874379873E-1,9.885348320E0,9.903509923E0
2.586485080E-1,1.268195957E-1,6.041877270E-1,9.904491425E0,9.923712833E0
2.611095500E-1,1.722832322E-1,6.352944374E-1,9.923933029E0,9.945739153E0
2.635706440E-1,1.268195957E-1,6.376872063E-1,9.863813400E0,9.885218408E0
2.660317380E-1,1.244267747E-1,6.041877270E-1,9.916455269E0,9.935623278E0
2.684927790E-1,1.196411327E-1,5.659025311E-1,9.926325798E0,9.943163658E0
2.709538730E-1,1.052841991E-1,5.802595019E-1,9.911669731E0,9.929198493E0
2.734149150E-1,6.221338734E-2,6.065805554E-1,9.894919395E0,9.913689541E0
2.758760080E-1,6.221338734E-2,5.826523304E-1,9.875777245E0,9.893145629E0
2.783189250E-1,8.614161611E-2,6.137589812E-1,9.887741089E0,9.907146123E0
2.807800190E-1,1.316052526E-1,6.448656917E-1,9.880562782E0,9.902458917E0
2.832411130E-1,1.244267747E-1,6.209374666E-1,9.863813400E0,9.884121618E0
2.857021540E-1,1.531406492E-1,6.448656917E-1,9.897313118E0,9.919481376E0
2.881632480E-1,1.268195957E-1,6.472585201E-1,9.914062500E0,9.935978163E0
2.906242900E-1,1.339980662E-1,6.496513486E-1,9.875777245E0,9.898029023E0
2.930853830E-1,1.124626622E-1,6.472585201E-1,9.878170013E0,9.899991629E0
2.955464250E-1,1.196411327E-1,5.898307562E-1,9.873384476E0,9.891710435E0
2.980075190E-1,8.374879509E-2,6.424728632E-1,9.866206169E0,9.887457176E0
3.004686130E-1,1.100698411E-1,6.257231236E-1,9.911669731E0,9.932010957E0
3.029296540E-1,1.531406492E-1,6.257231236E-1,9.882955551E0,9.903928105E0
3.053907480E-1,1.339980662E-1,5.682953596E-1,9.835099220E0,9.852415530E0
