"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.306161610E-1,-9.669154882E-3,-3.396314383E-2,-9.079933167E-3,3.646138891E-2
5.356036610E-1,2.199258655E-3,-2.657344937E-2,-5.404949188E-2,6.026883542E-2
5.405566290E-1,2.578256279E-2,-2.157825232E-2,-7.249450684E-2,7.991129481E-2
5.455132440E-1,1.356200129E-2,-4.502370954E-2,1.746177673E-3,4.705434556E-2
5.504406400E-1,-1.269677281E-2,-9.194731712E-2,5.391883850E-2,1.073441117E-1
5.554281920E-1,8.824802935E-3,-6.719878316E-2,5.102539062E-2,8.483598348E-2
5.603846500E-1,1.116064936E-2,-6.420207024E-2,5.458831787E-3,6.539315531E-2
5.653358480E-1,-3.174027056E-2,-3.278794885E-2,-1.832199097E-2,4.917509245E-2
5.702704830E-1,-5.371171981E-3,-3.481623530E-2,-5.850124359E-2,6.828920289E-2
5.752320460E-1,2.312889695E-2,-3.453290462E-2,-4.609394073E-2,6.206543924E-2
5.802323060E-1,-8.002676070E-3,-3.177651763E-2,1.796722412E-3,3.281795406E-2
5.851464210E-1,2.282093465E-2,-2.912622690E-2,-7.714271545E-3,3.779738268E-2
5.900940770E-1,1.311768591E-2,1.620560884E-2,-1.951408386E-2,2.855687152E-2
5.950782960E-1,3.471501172E-3,1.362577081E-2,-5.257892609E-2,5.442661499E-2
6.000539210E-1,3.185006976E-2,-1.742413640E-2,-6.398582458E-2,7.356774579E-2
6.050166810E-1,1.721455157E-2,-2.208381891E-2,-6.434440613E-3,2.873043455E-2
6.099260040E-1,1.940485090E-2,1.599213481E-2,2.924919128E-2,3.857216360E-2
6.149056400E-1,1.926194876E-2,5.622035265E-2,4.987716675E-4,5.943062759E-2
6.198598580E-1,3.094577044E-2,7.473501563E-2,-2.088165283E-2,8.354044945E-2
6.248104830E-1,5.907985568E-2,2.906841040E-2,-7.059288025E-2,9.653370692E-2
6.297354830E-1,8.468466997E-2,4.787218571E-2,-4.862689972E-2,1.087557579E-1
6.347278790E-1,5.311999470E-2,6.876420975E-2,1.354598999E-2,8.794170924E-2
6.396800670E-1,6.455326080E-2,7.293158770E-2,2.056121826E-2,9.954347623E-2
6.446369940E-1,2.835331857E-2,7.479238510E-2,3.463840485E-2,8.716438856E-2
6.495857960E-1,6.136520952E-2,7.418534160E-2,-2.503871918E-2,9.947909984E-2
6.545467330E-1,3.706316650E-2,5.687689781E-2,-4.145622253E-2,7.954419025E-2
6.595064210E-1,2.004224062E-2,5.884602666E-2,-3.161144257E-2,6.974116119E-2
6.644366290E-1,1.984392852E-2,6.307077408E-2,-9.965896606E-3,6.686570972E-2
6.694000670E-1,1.006583869E-2,6.718254089E-2,6.752014160E-3,6.826715612E-2
6.743468900E-1,9.838268161E-3,1.905131340E-2,3.995704651E-2,4.534655035E-2
6.793047020E-1,1.437482238E-2,4.258561134E-2,4.912948608E-2,6.658735777E-2
6.842710560E-1,5.070865154E-5,4.924294353E-2,1.784420013E-2,5.237638339E-2
6.892302230E-1,-2.849275246E-2,1.556563377E-2,-4.169178009E-2,5.284250585E-2
6.941969940E-1,-9.362958372E-3,-1.150816679E-3,-1.521492004E-2,1.790204347E-2
6.991375670E-1,-2.610249817E-2,2.970510721E-2,2.767467499E-2,4.826615213E-2
7.041062130E-1,-4.492207989E-2,5.087935925E-2,6.782531738E-2,9.595298920E-2
7.090764210E-1,-4.225695878E-2,1.008716226E-2,9.101581573E-2,1.008527646E-1
7.140434000E-1,-3.471101820E-2,-8.932799101E-3,6.887340546E-2,7.764145583E-2
7.190012130E-1,-2.490052581E-2,1.010999084E-2,1.603984833E-2,3.129736146E-2
7.239326190E-1,-2.005056292E-2,2.863228321E-3,-3.160190582E-2,3.753536468E-2
7.288905360E-1,-3.185085580E-2,1.240998507E-2,-1.946353912E-2,3.933591361E-2
7.338423060E-1,-2.214570716E-2,-6.733089685E-3,1.113557816E-1,1.137359966E-1
7.388005880E-1,-5.042003840E-2,-6.687343121E-3,7.954502106E-2,9.441563009E-2
7.437538690E-1,-5.710741878E-2,-3.272074461E-2,2.661800385E-2,7.099593323E-2
7.487178270E-1,-4.000959545E-2,-1.110419631E-2,1.214504242E-2,4.326168003E-2
7.536666810E-1,-1.825142652E-2,-8.671998978E-3,-4.583358765E-3,2.072016684E-2
7.585951190E-1,-1.093179733E-2,-2.043533325E-2,-3.542900085E-2,4.233581391E-2
7.635503790E-1,-2.033145353E-2,-1.077187061E-2,-7.789421082E-2,8.122135974E-2
7.685360040E-1,8.228167892E-3,-1.309308410E-2,-4.398345947E-2,4.662270161E-2
7.734935560E-1,-1.376561821E-3,8.308291435E-3,-1.035499573E-2,1.334723063E-2
7.784453270E-1,3.661080450E-2,2.243050933E-2,3.249359131E-2,5.384526192E-2
7.833972020E-1,3.624840826E-2,-6.324827671E-3,3.720283508E-3,3.698365931E-2
7.883417330E-1,-2.171173692E-3,-3.958433867E-3,-3.194046021E-2,3.225796323E-2
7.933195980E-1,2.386303991E-2,-2.288722992E-2,-4.830360413E-2,5.853638303E-2
7.982652230E-1,1.172798872E-2,-3.728061914E-3,-7.515907288E-3,1.441988306E-2
8.032102750E-1,2.102220803E-2,-1.331251860E-2,-3.595256805E-2,4.372348947E-2
8.081709520E-1,3.749487549E-2,-1.321160793E-2,2.136039734E-2,4.512957840E-2
8.131382960E-1,2.772919834E-2,2.254694700E-2,-4.949569702E-3,3.608007067E-2
8.180906400E-1,1.094401628E-2,3.292471170E-3,-5.004024506E-2,5.132872475E-2
8.230578790E-1,-2.487010509E-2,1.270595193E-2,-1.137590408E-1,1.171370254E-1
8.280268380E-1,1.563141495E-2,3.167289495E-2,-1.246919632E-1,1.295978360E-1
8.329828790E-1,2.967114747E-2,6.233257055E-2,1.650238037E-2,7.097925684E-2
8.378884520E-1,9.094104171E-4,3.802239895E-2,-5.013465881E-3,3.836228212E-2
8.428757960E-1,2.217184752E-2,2.581760287E-2,-2.872562408E-2,4.453426680E-2
8.478387650E-1,1.004941761E-2,1.376679540E-2,-2.373695374E-2,2.922256701E-2
8.527604830E-1,2.653495222E-2,1.366803050E-2,-7.580089569E-2,8.146591026E-2
8.577472540E-1,1.437587291E-2,-6.047785282E-4,-1.578521729E-2,2.135894575E-2
8.626988690E-1,3.311393410E-2,3.259748220E-2,9.784698486E-4,4.647672408E-2
8.676613170E-1,6.676882505E-3,2.048963308E-2,5.798149109E-2,6.185676303E-2
8.726181400E-1,-5.287885666E-3,2.981081605E-2,3.136825562E-2,4.359603134E-2
8.775711610E-1,-1.483171433E-2,3.900298476E-2,-5.203342438E-2,6.669849940E-2
8.825288170E-1,-7.612954825E-3,4.096555710E-2,-4.209232330E-2,5.922750738E-2
8.874835560E-1,1.838400960E-3,2.393424511E-2,-2.986049652E-2,3.831288373E-2
8.924422020E-1,1.814961433E-3,1.652061939E-2,-3.910827637E-2,4.249331983E-2
8.973926710E-1,-1.023726910E-2,-2.579987049E-3,-3.403282166E-2,3.563272319E-2
9.023414210E-1,8.795112371E-3,6.985187531E-3,2.088642120E-2,2.371475147E-2
9.072785560E-1,-2.694768459E-2,2.192288637E-3,3.734016418E-2,4.610066914E-2
9.122406920E-1,-2.665476501E-2,4.488080740E-3,5.128479004E-2,5.797196784E-2
9.171974630E-1,-4.549814388E-2,-1.941794157E-2,-4.178237915E-2,6.475264287E-2
9.221491290E-1,-1.437316835E-2,2.010226250E-3,-5.568122864E-2,5.754153457E-2
9.271343900E-1,-3.328930959E-2,1.618432999E-2,3.030681610E-2,4.783945832E-2
9.320470460E-1,-1.871282607E-2,2.073913813E-2,1.817893982E-2,3.332799968E-2
9.370620980E-1,-3.284452483E-2,-4.126003385E-2,1.402854919E-3,5.275529553E-2
9.420180360E-1,-1.355002820E-2,-3.622657061E-2,-1.048374176E-2,4.007338922E-2
9.469315770E-1,-2.537673712E-2,-1.223003864E-2,-6.503009796E-2,7.086936061E-2
9.518766290E-1,-3.004973382E-2,2.114772797E-3,-7.161331177E-2,7.769121693E-2
9.568685040E-1,3.373108804E-3,4.384368658E-3,-2.587604523E-2,2.646073068E-2
9.618245460E-1,-8.540801704E-3,-7.513791323E-3,2.422523499E-2,2.676311574E-2
9.667560560E-1,-1.557983086E-2,-2.158522606E-2,4.064655304E-2,4.858801691E-2
9.717022020E-1,-8.277229965E-3,-9.537845850E-3,4.743480682E-2,4.908710562E-2
9.766893380E-1,3.666460514E-3,1.903748512E-2,-2.846717834E-3,1.959521816E-2
9.816172540E-1,3.686090559E-2,1.646760106E-2,-4.082870483E-2,5.741856306E-2
9.865735040E-1,-8.668556809E-3,-3.080368042E-4,-7.849597931E-2,7.897377749E-2
9.916065770E-1,-1.353704184E-2,9.160071611E-3,-7.071304321E-2,7.257749578E-2
9.964829830E-1,-2.775931731E-2,1.144927740E-2,1.143455505E-3,3.004951149E-2
1.001471786E0,3.193045408E-2,-2.805054188E-3,1.222820282E-1,1.264132772E-1
1.006428921E0,3.176240623E-2,-1.701918244E-2,-4.027462006E-2,5.404209509E-2
1.011383765E0,1.941130310E-2,-1.459017396E-2,-1.397066116E-1,1.418013018E-1
1.016332150E0,7.187984884E-3,-1.437571645E-2,-2.214431763E-2,2.736236746E-2
1.021265692E0,2.132554352E-2,1.677033305E-2,5.880165100E-2,6.475845148E-2
1.026230796E0,1.166091114E-2,4.050612450E-2,-5.833625793E-3,4.255295713E-2
1.031187671E0,-5.097739398E-3,3.300607204E-2,-1.174335480E-1,1.220902368E-1
1.036134754E0,-3.367443755E-2,2.804780006E-2,-2.856254578E-2,5.231124023E-2
1.041118556E0,-2.635344118E-2,2.075570822E-2,4.769039154E-2,5.830674687E-2
1.046075119E0,-4.992191121E-2,3.487774730E-2,5.441761017E-2,8.166964413E-2
1.051031681E0,-2.356044576E-2,2.027174830E-2,4.921817780E-2,5.821054380E-2
1.055988244E0,-4.288971424E-3,5.969017744E-3,2.742099762E-2,2.838900419E-2
1.060944806E0,3.581470996E-2,3.193643689E-2,-8.920097351E-2,1.012889092E-1
1.065901369E0,-2.421424910E-2,-7.046213746E-2,1.419706345E-1,1.603337261E-1
1.070855952E0,6.885572523E-2,7.729545236E-2,1.170368195E-1,1.562476079E-1
1.075812567E0,4.983657598E-2,1.010093093E-2,1.611948013E-1,1.690250783E-1
1.080769129E0,-2.686559409E-2,2.433815598E-2,-3.532667160E-1,3.551217800E-1
1.085725692E0,2.538029104E-2,2.404764295E-2,-1.911563873E-1,1.943275913E-1
1.090682254E0,3.239598870E-2,3.695487976E-6,-1.614570618E-2,3.619646289E-2
1.095638817E0,-2.962018177E-2,2.145132422E-2,5.762672424E-2,6.825213422E-2
1.100592098E0,-3.167763352E-3,7.112264633E-3,1.438236237E-2,1.635455227E-2
1.105548661E0,6.148174405E-3,-4.527080059E-2,-3.561878204E-2,5.793050206E-2
1.110505223E0,2.734053135E-2,-6.946682930E-3,6.920528412E-2,7.473374344E-2
1.115461786E0,3.206404299E-2,-1.653039455E-2,1.707820892E-1,1.745505050E-1
1.120418348E0,2.022171766E-2,4.296007752E-2,-5.869293213E-2,7.549401571E-2
1.125374911E0,-7.045833766E-2,-4.814952612E-3,-2.648782730E-1,2.741314660E-1
